model	evaluation	test_dataset	target_id	target_index	n	spearman	pearson
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	HISTONE_H3_S28	46	1143		
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	EIF4EBP1_T37_T46	49	1143		
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	CTNND1_T310	55	1143	0.7413836121129199	0.805748442167028
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	PDPK1_S241	56	1143	0.5675121486533268	0.5957559819304996
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	MAP2K4_S257	57	1143	0.5729747260705579	0.6091069511539269
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	BTK_Y551	58	1143		
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	H2AFX_S139	59	1143		
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	NDRG1_T346	60	1143	0.630485062594448	0.7576483840510869
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	RPS6_pSitePending	0	30895	0.1362363883382551	0.0510632981473739
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	MAPK14_pSitePending	2	30895	0.1248260069676889	0.0993274733340425
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	AKT_pSitePending	3	30895	0.1362370666930555	0.1408555681163838
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	p-Rb	37	30895	0.1712896288297163	0.1942321276340113
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	p-p65	45	30895	0.123210005424612	0.1340088664713007
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	HISTONE_H3_S28	46	30895	-0.0047497188262701	-0.0022068919459903
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	EIF4EBP1_T37_T46	49	30895	0.041424182437831	0.0419938605920613
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	CTNND1_T310	55	30895	0.1584786916744483	0.1535884577990993
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	PDPK1_S241	56	30895	0.0924655950994904	0.0976699037736394
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	MAP2K4_S257	57	30895		
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	BTK_Y551	58	30895	0.0598984660486365	0.0574651353673481
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	H2AFX_S139	59	30895	0.1120808441240075	0.0807296476228394
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	NDRG1_T346	60	30895	0.0951064944277039	0.101009327600786
SCP682-SC12-protein-residual	external_reconstruction	vivo_seq_th17_2025	STAT3_Y705	1	1053	0.443151227208485	0.3587972607981902
SCP682-SC12-protein-residual	external_reconstruction	vivo_seq_th17_2025	FOS_S32	6	1177	0.0812679629288923	0.0800938453150512
SCP682-SC12-protein-residual	external_reconstruction	vivo_seq_th17_2025	MAPK1_MAPK3_T202_Y204	13	1177	0.1537839403745425	0.1672592370530816
SCP682-SC12-protein-residual	external_reconstruction	vivo_seq_th17_2025	RELA_S536	17	1053	0.2670067683968051	0.1900564431352518
